Date,AirTemp,RelHum,WindSpeed,Rain,Snow,ShortWave,LongWave
2019-01-01 00:00:00,-0.6237396240234148,96.08367919921876,4.680332940721663,0.0012857615947723387,0.0064772889018058786,0.0,168.78
2019-01-01 01:00:00,-0.9094299316406024,95.91392517089844,4.468338010509372,0.0005405638366937636,0.0005405638366937636,0.0,166.48
2019-01-01 02:00:00,-1.0567230224609148,95.2678680419922,4.2218540490325855,0.0003327224403619766,0.0008731139823794365,0.0,166.48
2019-01-01 03:00:00,-1.1745971679687273,94.6515655517578,3.8716804012835215,0.0003223307430744171,0.0011954465880990028,0.0,166.48
2019-01-01 04:00:00,-1.2985900878906025,94.11613464355469,3.7511534071899404,0.0002753995358943939,0.0014708433300256731,0.0,170.82
2019-01-01 05:00:00,-1.4675506591796648,93.11676025390624,3.922775529354184,0.00021645799279212952,0.0016872994601726534,0.0,170.82
2019-01-01 06:00:00,-1.9526580810546648,91.4311981201172,4.1759995816539135,0.00018662959337234497,0.0018739309161901476,0.0,170.82
2019-01-01 07:00:00,-3.0628265380859148,89.25399780273438,4.0995604841618745,4.3720006942749023e-05,0.0019176546484231949,0.0,185.68
2019-01-01 08:00:00,-4.092779541015601,87.83035278320312,4.049763456053765,6.705522537231445e-06,0.001924356445670128,0.0,185.68
2019-01-01 09:00:00,-4.832922363281226,86.60850524902344,4.06757389555112,6.191432476043701e-06,0.0019305460155010226,47.672,185.68
2019-01-01 10:00:00,-5.411199951171851,85.76904296875,3.971850539520859,8.754432201385498e-06,0.0019384492188692093,157.36,213.78
2019-01-01 11:00:00,-5.934545898437477,85.22880554199219,3.717737079616181,6.556510925292969e-06,0.0019441451877355573,239.05599999999998,213.78
2019-01-01 12:00:00,-6.495993041992165,84.86183166503906,3.4497547848278884,2.6226043701171875e-06,0.0019463580101728441,304.782,213.79
2019-01-01 13:00:00,-7.13939514160154,84.71542358398438,3.152480617942682,5.736947059631348e-07,0.0019469242542982101,206.00799999999998,267.75
2019-01-01 14:00:00,-7.798529052734352,84.42756652832031,2.8222161566299433,1.8998980522155757e-06,0.0019488297402858734,187.465,267.76
2019-01-01 15:00:00,-7.830114746093727,80.69427490234375,3.354615548106082,5.200505256652832e-06,0.0019523091614246366,155.734,267.76
2019-01-01 16:00:00,-7.669409179687477,78.76724243164062,3.35139594551344,2.7567148208618164e-06,0.0019550696015357967,100.48,266.01
2019-01-01 17:00:00,-7.366171264648415,77.64961242675781,2.9074769258652773,1.817941665649414e-06,0.001956891268491745,33.775999999999996,266.01
2019-01-01 18:00:00,-6.861532592773415,76.89849853515625,2.5187420614474783,2.056360244750977e-06,0.0019589364528656006,0.0,266.01
2019-01-01 19:00:00,-6.414266967773415,76.85714721679688,1.9105631526800735,8.940696716308594e-08,0.0019590221345424648,0.0,262.72
2019-01-01 20:00:00,-6.275473022460915,76.71852111816406,1.901763865330108,5.662441253662109e-07,0.0019591823220252986,0.0,262.72
2019-01-01 21:00:00,-6.422766113281227,77.21717834472656,2.037332251262375,5.960464477539061e-07,0.001959383487701416,0.0,262.72
2019-01-01 22:00:00,-6.879583740234352,79.61219787597656,1.7352070016976695,1.4603137969970703e-06,0.0019604042172431946,0.0,251.49
2019-01-01 23:00:00,-7.66411437988279,83.25660705566406,1.6135414530273064,7.748603820800781e-07,0.0019612014293670654,0.0,251.49
2019-01-02 00:00:00,-8.934179687499975,85.34286499023438,1.591255463557252,2.9802322387695312e-08,0.0019612535834312443,0.0,251.49
2019-01-02 01:00:00,-9.444433593749975,84.05754089355469,1.3918253895601351,0.0,0.0,0.0,217.55
2019-01-02 02:00:00,-9.050100708007788,82.42118835449219,1.317692548894219,0.0,0.0,0.0,217.55
2019-01-02 03:00:00,-8.34923400878904,81.5325927734375,1.2117370869900317,0.0,0.0,0.0,217.55
2019-01-02 04:00:00,-8.757727050781227,82.93266296386719,1.1539351633642183,0.0,0.0,0.0,187.53
2019-01-02 05:00:00,-9.097937011718725,84.08622741699219,1.2511226057712987,0.0,0.0,0.0,187.53
2019-01-02 06:00:00,-9.432546997070288,84.82124328613281,1.4942624997388552,0.0,0.0,0.0,187.53
2019-01-02 07:00:00,-10.49860229492185,88.35525512695312,1.7421393278163264,8.672474791637794e-07,4.2095780372619634e-07,0.0,185.21
2019-01-02 08:00:00,-10.359915161132788,88.19374084472656,1.7833484484265119,1.1548399925231934e-06,1.166015863418579e-06,0.0,185.21
2019-01-02 09:00:00,-11.506079101562474,89.46846008300781,1.9893800237394248,3.293156623840332e-06,4.455447196960448e-06,48.472,185.21
2019-01-02 10:00:00,-10.877416992187475,89.9652099609375,2.0679629606404024,3.609806299209595e-05,4.015117883682251e-05,186.94400000000002,198.94
2019-01-02 11:00:00,-8.965368652343725,90.15419006347656,2.0856654843096494,8.371472358703613e-05,0.00012299790978431702,284.192,198.94
2019-01-02 12:00:00,-7.299719238281227,89.90653991699219,2.451452860219581,7.276237010955809e-05,0.00019575655460357663,362.575,198.95
2019-01-02 13:00:00,-6.205938720703102,89.28001403808594,2.737487069723282,4.336237907409668e-05,0.0002386756241321564,373.119,228.54
2019-01-02 14:00:00,-5.631964111328102,87.70484924316406,3.2042222555587987,3.120303153991699e-05,0.00026943162083625793,339.88300000000004,228.55
2019-01-02 15:00:00,-5.410467529296851,84.36119079589844,3.5209123775977464,2.8446316719055176e-05,0.0002974756062030792,282.86,228.55
2019-01-02 16:00:00,-5.277319335937476,80.31570434570312,4.1379829849174605,3.254413604736328e-05,0.00033002719283103943,180.528,229.93
